Seriation_Solution Mean_Distance Solution_Size
2771 61017.3764580738 3
10945 61056.4388293867 4
3651 61056.4388293867 4
10946 61056.4388293867 4
4271 61196.4486941566 4
4272 61196.4486941566 4
106 61196.4486941566 4
10098 61357.7437178177 4
3182 61357.7437178177 4
10099 61357.7437178177 4
9681 61885.6364253103 4
2960 61885.6364253103 4
9680 61885.6364253103 4
11569 61998.2500559492 3
4015 61998.2500559492 3
7593 62033.1781481196 4
1815 62033.1781481196 4
7592 62033.1781481196 4
693 62215.3849027395 4
5446 62215.3849027395 4
5445 62215.3849027395 4
2036 62269.9749478029 3
7993 62269.9749478029 3
3108 62454.7287431683 4
9965 62454.7287431683 4
9964 62454.7287431683 4
5955 62487.1468719488 4
5956 62487.1468719488 4
945 62487.1468719488 4
4843 62885.2573584142 4
4842 62885.2573584142 4
378 62885.2573584142 4
10341 63071.9343289866 3
3314 63071.9343289866 3
9861 63298.0548595295 3
3055 63298.0548595295 3
7946 63327.8051096041 3
2008 63327.8051096041 3
3708 63495.3738472339 3
11042 63495.3738472339 3
5471 63690.2089082267 4
5470 63690.2089082267 4
706 63690.2089082267 4
3738 64311.1354036787 4
11094 64311.1354036787 4
11095 64311.1354036787 4
5358 64499.6393970845 4
648 64499.6393970845 4
5357 64499.6393970845 4
3527 64518.3663773348 3
10704 64518.3663773348 3
3849 64576.4597020813 4
11289 64576.4597020813 4
11288 64576.4597020813 4
7011 64880.6275898617 4
7010 64880.6275898617 4
1518 64880.6275898617 4
1107 64910.375133718 3
6262 64910.375133718 3
8324 64996.4491337796 3
2211 64996.4491337796 3
9253 65031.3073218673 4
2736 65031.3073218673 4
9252 65031.3073218673 4
7918 65196.9201471268 4
1991 65196.9201471268 4
7919 65196.9201471268 4
1289 65635.0585967591 4
6580 65635.0585967591 4
6579 65635.0585967591 4
9246 65713.9017967165 3
2732 65713.9017967165 3
5910 66089.6311984124 4
925 66089.6311984124 4
5911 66089.6311984124 4
8409 66187.767564578 4
8408 66187.767564578 4
2261 66187.767564578 4
5365 66258.837156756 4
653 66258.837156756 4
5366 66258.837156756 4
5588 66590.7808612915 4
769 66590.7808612915 4
5587 66590.7808612915 4
7809 66790.2006285353 3
1920 66790.2006285353 3
1931 66790.2006285353 3
7792 66790.2006285353 3
5643 66995.0596462157 3
799 66995.0596462157 3
3912 67003.3619520766 4
11412 67003.3619520766 4
11411 67003.3619520766 4
3244 67780.3265190591 4
10210 67780.3265190591 4
10209 67780.3265190591 4
9924 67953.2324470293 4
3091 67953.2324470293 4
9923 67953.2324470293 4
4149 68904.4127804359 4
44 68904.4127804359 4
4148 68904.4127804359 4
8839 69322.3174742449 3
2510 69322.3174742449 3
11001 69329.7871032977 4
3686 69329.7871032977 4
11000 69329.7871032977 4
9904 69692.0172185845 4
3081 69692.0172185845 4
9903 69692.0172185845 4
7880 69824.4040432856 4
7879 69824.4040432856 4
1970 69824.4040432856 4
10135 70249.6136344249 4
3199 70249.6136344249 4
10134 70249.6136344249 4
1135 70285.8352728343 3
6306 70285.8352728343 3
1846 70340.556330485 4
7648 70340.556330485 4
7649 70340.556330485 4
1046 70362.3519483305 4
6142 70362.3519483305 4
6141 70362.3519483305 4
3275 70796.4798712388 4
10270 70796.4798712388 4
10269 70796.4798712388 4
613 70866.084465932 4
5290 70866.084465932 4
5291 70866.084465932 4
4897 71083.1035788749 4
406 71083.1035788749 4
4896 71083.1035788749 4
3939 71485.2572829765 4
11449 71485.2572829765 4
11450 71485.2572829765 4
634 71649.6393970845 3
5331 71649.6393970845 3
7537 71830.2116104359 4
1783 71830.2116104359 4
7536 71830.2116104359 4
9333 72583.5831916482 3
2778 72583.5831916482 3
2118 73099.3255782842 3
8138 73099.3255782842 3
4979 73691.40611206 4
4980 73691.40611206 4
448 73691.40611206 4
8352 73700.8203823763 4
8351 73700.8203823763 4
2227 73700.8203823763 4
3839 73882.9534033101 4
11263 73882.9534033101 4
11264 73882.9534033101 4
5758 74004.0065649532 4
859 74004.0065649532 4
5757 74004.0065649532 4
7404 74667.8008928218 4
7403 74667.8008928218 4
1715 74667.8008928218 4
1019 74906.9422683906 3
6088 74906.9422683906 3
9784 75033.8883923736 4
3014 75033.8883923736 4
9785 75033.8883923736 4
707 75200.9066668498 4
5473 75200.9066668498 4
5472 75200.9066668498 4
11267 75709.9506694853 5
3841 75709.9506694853 5
11268 75709.9506694853 5
11266 75709.9506694853 5
9710 75971.010119996 4
2975 75971.010119996 4
9709 75971.010119996 4
361 76089.1095744016 4
4809 76089.1095744016 4
4810 76089.1095744016 4
10062 76153.9908732923 4
3166 76153.9908732923 4
10061 76153.9908732923 4
10743 76323.6868703312 4
3543 76323.6868703312 4
10742 76323.6868703312 4
9224 76331.9651260204 3
2720 76331.9651260204 3
10427 76512.3868522507 4
3370 76512.3868522507 4
10426 76512.3868522507 4
8521 76938.8360972533 4
8522 76938.8360972533 4
2330 76938.8360972533 4
2319 76938.8360972533 3
8506 76938.8360972533 3
7469 77005.9855305188 4
7468 77005.9855305188 4
1750 77005.9855305188 4
2861 77013.7948645549 4
9491 77013.7948645549 4
9490 77013.7948645549 4
950 77077.4239269595 3
5966 77077.4239269595 3
9266 77110.0410886158 3
2743 77110.0410886158 3
5327 77160.6594681268 4
5613 77160.6594681268 4
5614 77160.6594681268 4
783 77160.6594681268 4
5328 77160.6594681268 4
631 77160.6594681268 4
668 77501.7170775921 4
5395 77501.7170775921 4
5394 77501.7170775921 4
2770 77629.2525643523 3
9321 77629.2525643523 3
7555 78066.3783580244 4
1794 78066.3783580244 4
7554 78066.3783580244 4
1886 78083.8900416421 4
7730 78083.8900416421 4
7729 78083.8900416421 4
6138 78244.8275069215 4
1044 78244.8275069215 4
6139 78244.8275069215 4
840 78421.6645698803 3
5719 78421.6645698803 3
4223 78596.1127757519 4
81 78596.1127757519 4
4222 78596.1127757519 4
6249 78841.0206883201 4
6248 78841.0206883201 4
1099 78841.0206883201 4
2212 79252.1243340512 4
8325 79252.1243340512 4
8326 79252.1243340512 4
9560 79634.0717802844 4
2899 79634.0717802844 4
9559 79634.0717802844 4
4437 80026.2367614899 4
185 80026.2367614899 4
4436 80026.2367614899 4
3695 80206.7150477252 4
11016 80206.7150477252 4
11017 80206.7150477252 4
8276 80411.2433883955 4
2184 80411.2433883955 4
8275 80411.2433883955 4
9276 80444.3088319058 4
2749 80444.3088319058 4
9277 80444.3088319058 4
5986 80541.0540929137 3
959 80541.0540929137 3
11544 80690.9960605785 4
3998 80690.9960605785 4
11545 80690.9960605785 4
8874 80766.9493047744 3
2529 80766.9493047744 3
1239 80776.8959735515 4
6486 80776.8959735515 4
6487 80776.8959735515 4
5417 80947.2204546306 4
5416 80947.2204546306 4
679 80947.2204546306 4
5993 80952.0087982788 5
964 80952.0087982788 5
5992 80952.0087982788 5
5994 80952.0087982788 5
3930 80957.8340866404 3
11434 80957.8340866404 3
11611 80978.8714778088 5
11613 80978.8714778088 5
11612 80978.8714778088 5
4039 80978.8714778088 5
9782 81293.5796627022 4
9783 81293.5796627022 4
3013 81293.5796627022 4
3878 81319.4894839314 4
11338 81319.4894839314 4
11337 81319.4894839314 4
7368 81378.7411267229 4
7369 81378.7411267229 4
1698 81378.7411267229 4
7332 82117.2972446392 4
7333 82117.2972446392 4
1683 82117.2972446392 4
11608 82277.3660285547 4
4037 82277.3660285547 4
11609 82277.3660285547 4
2475 82563.3521770164 4
8783 82563.3521770164 4
8782 82563.3521770164 4
3877 82564.8404574134 4
11336 82564.8404574134 4
11335 82564.8404574134 4
9344 83024.5070574127 4
2784 83024.5070574127 4
9343 83024.5070574127 4
9251 83180.8376117492 3
2735 83180.8376117492 3
10445 83839.066352767 5
10444 83839.066352767 5
3379 83839.066352767 5
10446 83839.066352767 5
9584 83979.0294619912 4
2910 83979.0294619912 4
9583 83979.0294619912 4
11292 83987.8313484261 6
11290 83987.8313484261 6
11291 83987.8313484261 6
11293 83987.8313484261 6
3850 83987.8313484261 6
9459 83987.8313484261 4
2842 83987.8313484261 4
9460 83987.8313484261 4
11149 84144.0907395594 5
3773 84144.0907395594 5
11148 84144.0907395594 5
11147 84144.0907395594 5
6030 84283.4478951121 4
985 84283.4478951121 4
6029 84283.4478951121 4
5973 85136.2926293533 4
5972 85136.2926293533 4
953 85136.2926293533 4
1278 85253.4279734428 4
6559 85253.4279734428 4
6560 85253.4279734428 4
7512 85857.1464145904 4
7513 85857.1464145904 4
1772 85857.1464145904 4
5265 86196.1552561653 3
599 86196.1552561653 3
756 86417.0523072222 4
5567 86417.0523072222 4
5568 86417.0523072222 4
8376 86905.0696407085 4
2244 86905.0696407085 4
8375 86905.0696407085 4
3966 86982.0894724885 3
11494 86982.0894724885 3
6211 87319.2208352194 5
1078 87319.2208352194 5
6212 87319.2208352194 5
6213 87319.2208352194 5
5388 87742.2164514692 4
664 87742.2164514692 4
5387 87742.2164514692 4
11186 87754.1866788628 4
11187 87754.1866788628 4
3795 87754.1866788628 4
9733 87860.7733457891 4
2986 87860.7733457891 4
9732 87860.7733457891 4
10220 88570.8047305379 4
10219 88570.8047305379 4
3249 88570.8047305379 4
7446 88827.8259990681 4
1739 88827.8259990681 4
7445 88827.8259990681 4
8473 89108.5783879518 4
8472 89108.5783879518 4
2299 89108.5783879518 4
6880 89129.6759614888 3
1450 89129.6759614888 3
5258 89168.3433287988 4
594 89168.3433287988 4
5259 89168.3433287988 4
10681 89225.3560158966 4
10682 89225.3560158966 4
3516 89225.3560158966 4
11366 89453.6604412501 4
11367 89453.6604412501 4
3891 89453.6604412501 4
4204 89568.5809835367 3
72 89568.5809835367 3
2231 89721.2394029418 3
9819 89721.2394029418 3
726 89721.2394029418 3
11057 89721.2394029418 3
9143 89721.2394029418 3
10353 89721.2394029418 3
3322 89721.2394029418 3
5507 89721.2394029418 3
3547 89721.2394029418 3
6794 89721.2394029418 3
1978 89721.2394029418 3
10750 89721.2394029418 3
3638 89721.2394029418 3
3716 89721.2394029418 3
8762 89721.2394029418 3
10922 89721.2394029418 3
7892 89721.2394029418 3
2672 89721.2394029418 3
3033 89721.2394029418 3
11162 89721.2394029418 3
3782 89721.2394029418 3
1402 89721.2394029418 3
8357 89721.2394029418 3
2462 89721.2394029418 3
7420 90341.3413580271 4
1724 90341.3413580271 4
7421 90341.3413580271 4
10779 90590.1849177919 4
3560 90590.1849177919 4
10778 90590.1849177919 4
8208 90856.3297062873 4
8207 90856.3297062873 4
